MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,19,1.3980,1.6526,1.3869
,,22,1.3985,1.6476,1.3927
,,23,1.3890,1.6446,1.3971
,,24,1.3881,1.6477,1.3955
,,25,1.3897,1.6445,1.3916
,,26,1.3862,1.6440,1.3904
,,29,1.3883,1.6322,1.3990
,,30,1.3965,1.6345,1.3968
,,31,1.3996,1.6290,1.3950
,Sep,01,1.4035,1.6225,1.4011
,,02,1.3966,1.6190,1.4018
,,05,1.3925,1.6115,1.4046
,,06,1.3958,1.6230,1.4034
,,07,1.3943,1.6168,1.4103
,,08,1.4038,1.6165,1.4057
,,09,1.4089,1.6206,1.3992
,,12,1.4105,1.6244,1.3990
,,13,1.4144,1.6321,1.3963
,,14,1.4045,1.6178,1.4060
,,15,1.4024,1.6214,1.4061
,,16,1.4085,1.6150,1.4088
,,19,1.4070,1.6045,1.4073
,,20,1.4108,1.6082,1.4066
,,21,1.4069,1.6061,1.4116
,,22,1.3950,1.5957,1.4207
,,23,1.3952,1.5951,1.4202
,,26,1.3833,1.5070,1.4356
,,27,1.3838,1.5467,1.4354
,,28,1.3831,1.5423,1.4471
,,29,1.3935,1.5525,1.4387
,,30,1.4053,1.5892,1.4340
,Oct,03,1.4079,1.5964,1.4359
,,04,1.4067,1.6176,1.4293
,,05,1.4196,1.6280,1.4240
,,06,1.4100,1.6159,1.4220
,,07,1.4012,1.5965,1.4291
,,10,1.3962,1.5886,1.4339
,,11,1.3947,1.5899,1.4404
,,12,1.3962,1.5758,1.4397
,,13,1.3905,1.5884,1.4336
,,14,1.3917,1.6108,1.4220
,,17,1.3896,1.6026,1.4269
,,18,1.3960,1.6136,1.4186
,,19,1.3984,1.6101,1.4208
,,20,1.3931,1.5987,1.4272
,,21,1.3935,1.5975,1.4266
,,25,1.4050,1.6064,1.4214
,,26,1.4095,1.6219,1.4156
,,27,1.4159,1.6327,1.4061
,,28,1.4046,1.6282,1.4057
,,31,1.4063,1.6377,1.4112
,Nov,01,1.4001,1.6268,1.4137
,,02,1.3969,1.6263,1.4121
,,03,1.3922,1.6170,1.4163
,,04,1.3850,1.5885,1.4172
,,07,1.3988,1.5949,1.4078
,,08,1.4039,1.6138,1.4021
,,09,1.4089,1.6151,1.3988
,,10,1.4058,1.5991,1.4021
,,11,1.4094,1.6152,1.3839
,,14,1.4166,1.6156,1.3718
,,15,1.4169,1.6156,1.3729
,,16,1.4222,1.6276,1.3737
,,17,1.4239,1.6308,1.3729
,,18,1.4247,1.6353,1.3724
,,21,1.4189,1.6328,1.3774
,,22,1.4164,1.6366,1.3804
,,23,1.4233,1.6391,1.3800
,,24,1.4326,1.6599,1.3717
,,25,1.4293,1.6618,1.3720
,,28,1.4261,1.6591,1.3772
,,29,1.4261,1.6495,1.3742
,,30,1.4200,1.6436,1.3722
,Dec,01,1.4156,1.6407,1.3571
,,02,1.4231,1.6566,1.3523
,,05,1.4227,1.6592,1.3448
,,06,1.4229,1.6542,1.3561
,,07,1.4217,1.6488,1.3584
,,08,1.4255,1.6550,1.3571
,,09,1.4289,1.6575,1.3505
,,12,1.4250,1.6572,1.3552
,,13,1.4275,1.6610,1.3552
,,14,1.4327,1.6654,1.3483
,,15,1.4370,1.6706,1.3487
,,16,1.4443,1.6553,1.3564
,,19,1.4395,1.6531,1.3569
,,20,1.4390,1.6469,1.3564
,,21,1.4359,1.6460,1.3526
,,22,1.4341,1.6349,1.3475
,,23,1.4344,1.6294,1.3522
,,27,1.4318,1.6260,1.3459
,,28,1.4328,1.6172,1.3470
,,29,1.4323,1.6230,1.3483
,,30,1.4331,1.6194,1.3446

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2023,Jan,03,1.4273,1.6147,1.3373
,,04,1.4179,1.6085,1.3417
,,05,1.4239,1.6158,1.3423
,,06,1.4149,1.6025,1.3435
,,09,1.4198,1.6136,1.3310
,,10,1.4287,1.6197,1.3312
,,11,1.4292,1.6182,1.3315
,,12,1.4327,1.6184,1.3304
,,13,1.4349,1.6139,1.3230
,,16,1.4296,1.6150,1.3164
,,17,1.4311,1.6116,1.3220
,,18,1.4268,1.6248,1.3243
,,19,1.4279,1.6306,1.3221
,,20,1.4332,1.6378,1.3228
,,25,1.4362,1.6244,1.3179
,,26,1.4317,1.6260,1.3120
,,27,1.4285,1.6272,1.3137
,,30,1.4278,1.6278,1.3138
,,31,1.4252,1.6222,1.3142
,Feb,01,1.4276,1.6182,1.3143
,,02,1.4370,1.6154,1.3043
,,03,1.4286,1.6015,1.3113
,,06,1.4287,1.5960,1.3241
,,07,1.4249,1.5984,1.3270
,,08,1.4214,1.5967,1.3245
,,09,1.4226,1.6018,1.3259
,,10,1.4240,1.6061,1.3283
,,13,1.4209,1.6048,1.3327
,,14,1.4250,1.6125,1.3276
,,15,1.4281,1.6185,1.3324
,,16,1.4286,1.6071,1.3341
,,17,1.4268,1.6011,1.3394
,,20,1.4276,1.6073,1.3365
,,21,1.4267,1.6082,1.3376
,,22,1.4276,1.6230,1.3393
,,23,1.4216,1.6144,1.3383
,,24,1.4235,1.6146,1.3430
,,27,1.4241,1.6134,1.3507
,,28,1.4279,1.6244,1.3480
,Mar,01,1.4265,1.6212,1.3466
,,02,1.4316,1.6144,1.3448
,,03,1.4290,1.6122,1.3475
,,06,1.4308,1.6185,1.3440
,,07,1.4376,1.6196,1.3447
,,08,1.4282,1.6022,1.3561
,,09,1.4281,1.6037,1.3538
,,10,1.4367,1.6167,1.3558
,,13,1.4405,1.6295,1.3442
,,14,1.4427,1.6385,1.3480
,,15,1.4427,1.6336,1.3420
,,16,1.4317,1.6311,1.3508
,,17,1.4279,1.6292,1.3421
,,20,1.4316,1.6336,1.3419
,,21,1.4345,1.6411,1.3388
,,22,1.4397,1.6350,1.3368
,,23,1.4442,1.6319,1.3250
,,24,1.4380,1.6309,1.3280
,,27,1.4354,1.6318,1.3328
,,28,1.4364,1.6362,1.3284
,,29,1.4398,1.6378,1.3289
,,30,1.4412,1.6369,1.3303
,,31,1.4473,1.6452,1.3270
,Apr,03,1.4399,1.6383,1.3345
,,04,1.4456,1.6468,1.3276
,,05,1.4531,1.6563,1.3260
,,06,1.4484,1.6549,1.3298
,,10,1.4494,1.6503,1.3300
,,11,1.4489,1.6520,1.3315
,,12,1.4550,1.6561,1.3320
,,13,1.4578,1.6567,1.3268
,,14,1.4656,1.6605,1.3241
,,17,1.4621,1.6520,1.3321
,,18,1.4591,1.6521,1.3343
,,19,1.4635,1.6563,1.3335
,,20,1.4621,1.6583,1.3343
,,21,1.4616,1.6580,1.3332
,,24,1.4670,1.6614,1.3359
,,25,1.4746,1.6656,1.3341
,,26,1.4682,1.6608,1.3378
,,27,1.4753,1.6654,1.3355
,,28,1.4701,1.6668,1.3340
,May,02,1.4679,1.6702,1.3363
,,03,1.4707,1.6659,1.3335
,,04,1.4712,1.6706,1.3277
,,05,1.4632,1.6708,1.3249
,,08,1.4631,1.6760,1.3254
,,09,1.4563,1.6714,1.3247
,,10,1.4560,1.6754,1.3265
,,11,1.4548,1.6727,1.3257
,,12,1.4543,1.6673,1.3316
,,15,1.4539,1.6677,1.3388
,,16,1.4537,1.6736,1.3359
,,17,1.4571,1.6738,1.3410
,,18,1.4549,1.6750,1.3422
,,19,1.4522,1.6725,1.3486
,,22,1.4547,1.6748,1.3444
,,23,1.4543,1.6735,1.3456
,,24,1.4514,1.6734,1.3466
,,25,1.4522,1.6689,1.3524
,,26,1.4525,1.6681,1.3528
,,29,1.4517,1.6704,1.3529
,,30,1.4499,1.6722,1.3542
,,31,1.4483,1.6772,1.3539
,Jun,01,1.4444,1.6804,1.3516
,,05,1.4453,1.6798,1.3505
,,06,1.4459,1.6787,1.3493
,,07,1.4411,1.6747,1.3479
,,08,1.4437,1.6786,1.3483
,,09,1.4480,1.6857,1.3435
,,12,1.4434,1.6893,1.3439
,,13,1.4459,1.6813,1.3415
,,14,1.4478,1.6925,1.3420
,,15,1.4534,1.6995,1.3442
,,16,1.4630,1.7087,1.3376
,,19,1.4650,1.7167,1.3395
,,20,1.4653,1.7164,1.3419
,,21,1.4668,1.7148,1.3438
,,22,1.4737,1.7117,1.3406
,,23,1.4744,1.7139,1.3483
,,26,1.4739,1.7207,1.3515
,,27,1.4748,1.7178,1.3497
,,28,1.4791,1.7196,1.3507
,,30,1.4739,1.7107,1.3557
,Jul,03,1.4741,1.7155,1.3508
,,04,1.4725,1.7135,1.3505
,,05,1.4694,1.7165,1.3509
,,06,1.4674,1.7185,1.3536
,,07,1.4736,1.7238,1.3535
,,10,1.4779,1.7282,1.3490
,,11,1.4791,1.7288,1.3425
,,12,1.4756,1.7338,1.3379
,,13,1.4812,1.7294,1.3290
,,14,1.4809,1.7308,1.3176
,,17,1.4847,1.7308,1.3227
,,18,1.4867,1.7298,1.3211
,,19,1.4869,1.7249,1.3246
,,20,1.4842,1.7125,1.3222
,,21,1.4773,1.7081,1.3268
,,24,1.4803,1.7115,1.3307
,,25,1.4726,1.7068,1.3295
,,26,1.4676,1.7121,1.3283
,,27,1.4684,1.7147,1.3228
,,28,1.4618,1.7036,1.3319
,,31,1.4665,1.7112,1.3318
,Aug,01,1.4627,1.7071,1.3315
,,02,1.4686,1.7074,1.3366
,,03,1.4681,1.7075,1.3426
,,04,1.4688,1.7073,1.3408
,,07,1.4736,1.7069,1.3403
,,08,1.4761,1.7145,1.3442
,,10,1.4790,1.7126,1.3472
,,11,1.4824,1.7116,1.3493
,,14,1.4810,1.7163,1.3547
,,15,1.4800,1.7208,1.3562
,,16,1.4822,1.7256,1.3591
,,17,1.4796,1.7317,1.3620
,,18,1.4768,1.7301,1.3567
,,21,1.4773,1.7293,1.3579
,,22,1.4795,1.7314,1.3555
,,23,1.4726,1.7291,1.3564
,,24,1.4688,1.7187,1.3519
,,25,1.4636,1.7060,1.3574
,,28,1.4654,1.7082,1.3558
,,29,1.4664,1.7090,1.3533
,,30,1.4697,1.7079,1.3522
,,31,1.4746,1.7176,1.3503
,Sep,04,1.4598,1.7058,1.3535
,,05,1.4644,1.7129,1.3574
,,06,1.4615,1.7117,1.3616
,,07,1.4634,1.7056,1.3640
,,08,1.4613,1.7041,1.3637
,,11,1.4610,1.7034,1.3625
,,12,1.4620,1.7028,1.3606
,,13,1.4636,1.7007,1.3619
,,14,1.4607,1.6990,1.3595
,,15,1.4502,1.6920,1.3621
,,18,1.4543,1.6895,1.3639
,,19,1.4575,1.6889,1.3644
,,20,1.4582,1.6912,1.3654
,,21,1.4545,1.6849,1.3674
,,22,1.4556,1.6780,1.3666
,,25,1.4546,1.6719,1.3661
,,26,1.4483,1.6687,1.3681
,,27,1.4478,1.6644,1.3708
,,28,1.4408,1.6647,1.3717
,,29,1.4432,1.6677,1.3648
,Oct,02,1.4467,1.6685,1.3687
,,03,1.4386,1.6598,1.3743
,,04,1.4382,1.6587,1.3751
,,05,1.4409,1.6648,1.3691
,,06,1.4414,1.6653,1.3673
,,09,1.4439,1.6691,1.3683
,,10,1.4434,1.6711,1.3657
,,11,1.4456,1.6757,1.3632
,,12,1.4480,1.6782,1.3625
,,13,1.4438,1.6708,1.3692
,,16,1.4413,1.6649,1.3696
,,17,1.4438,1.6700,1.3686
,,18,1.4467,1.6658,1.3680
,,19,1.4470,1.6660,1.3738
,,20,1.4517,1.6660,1.3728
,,23,1.4522,1.6682,1.3732
,,24,1.4585,1.6746,1.3653
,,25,1.4496,1.6641,1.3673
,,26,1.4477,1.6585,1.3727
,,27,1.4467,1.6617,1.3694
,,30,1.4451,1.6587,1.3685
,,31,1.4482,1.6601,1.3669
,Nov,01,1.4479,1.6637,1.3699
,,02,1.4467,1.6639,1.3648
,,03,1.4478,1.6622,1.3626
,,06,1.4509,1.6727,1.3517
,,07,1.4488,1.6687,1.3529
,,08,1.4480,1.6636,1.3547
,,09,1.4517,1.6651,1.3558
,,10,1.4514,1.6624,1.3604
,,14,1.4560,1.6703,1.3612
,,15,1.4660,1.6831,1.3471
,,16,1.4642,1.6744,1.3517
,,17,1.4633,1.6727,1.3482
,,20,1.4640,1.6732,1.3402
,,21,1.4636,1.6739,1.3352
,,22,1.4608,1.6781,1.3383
,,23,1.4623,1.6769,1.3409
,,24,1.4623,1.6819,1.3417
,,27,1.4655,1.6877,1.3389
,,28,1.4628,1.6866,1.3353
,,29,1.4631,1.6905,1.3304
,,30,1.4612,1.6909,1.3316
,Dec,01,1.4585,1.6902,1.3379
,,04,1.4528,1.6928,1.3353
,,05,1.4511,1.6913,1.3388
,,06,1.4470,1.6900,1.3402
,,07,1.4448,1.6850,1.3427
,,08,1.4422,1.6828,1.3365
,,11,1.4457,1.6842,1.3430
,,12,1.4459,1.6883,1.3428
,,13,1.4498,1.6869,1.3440
,,14,1.4500,1.6813,1.3296
,,15,1.4603,1.6949,1.3277
,,18,1.4538,1.6913,1.3324
,,19,1.4552,1.6862,1.3320
,,20,1.4569,1.6893,1.3281
,,21,1.4556,1.6797,1.3295
,,22,1.4593,1.6830,1.3269
,,26,1.4579,1.6808,1.3221
,,27,1.4606,1.6840,1.3234
,,28,1.4650,1.6882,1.3177
,,29,1.4590,1.6795,1.3186

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2024,Jan,02,1.4582,1.6822,1.3227
,,03,1.4538,1.6766,1.3264
,,04,1.4522,1.6844,1.3291
,,05,1.4556,1.6875,1.3307
,,08,1.4554,1.6908,1.3312
,,09,1.4562,1.6943,1.3283
,,10,1.4554,1.6911,1.3317
,,11,1.4600,1.6974,1.3296
,,12,1.4604,1.6997,1.3304
,,15,1.4599,1.6988,1.3315
,,16,1.4601,1.6958,1.3372
,,17,1.4605,1.6961,1.3441
,,18,1.4641,1.7042,1.3438
,,19,1.4614,1.7061,1.3421
,,22,1.4614,1.7042,1.3405
,,23,1.4600,1.7055,1.3404
,,24,1.4561,1.7023,1.3408
,,25,1.4577,1.7037,1.3402
,,26,1.4529,1.7029,1.3397
,,29,1.4544,1.7036,1.3411
,,30,1.4505,1.7019,1.3393
,,31,1.4507,1.6997,1.3409
,Feb,01,1.4483,1.6992,1.3395
,,02,1.4529,1.7029,1.3358
,,05,1.4491,1.6956,1.3444
,,06,1.4466,1.6888,1.3465
,,07,1.4453,1.6928,1.3433
,,08,1.4488,1.6975,1.3438
,,09,1.4507,1.6991,1.3469
,,13,1.4486,1.6973,1.3460
,,14,1.4465,1.7012,1.3504
,,15,1.4459,1.6938,1.3481
,,16,1.4494,1.6948,1.3471
,,19,1.4493,1.6963,1.3449
,,20,1.4497,1.6943,1.3464
,,21,1.4529,1.6971,1.3430
,,22,1.4545,1.6979,1.3436
,,23,1.4535,1.7005,1.3428
,,26,1.4549,1.7023,1.3448
,,27,1.4588,1.7043,1.3441
,,28,1.4577,1.7045,1.3454
,,29,1.4571,1.7031,1.3446
,Mar,01,1.4552,1.6995,1.3454
,,04,1.4576,1.7023,1.3442
,,05,1.4583,1.7050,1.3436
,,06,1.4567,1.7049,1.3426
,,07,1.4576,1.7027,1.3372
,,08,1.4591,1.7071,1.3328
,,11,1.4561,1.7103,1.3309
,,12,1.4553,1.7058,1.3308
,,13,1.4558,1.7045,1.3322
,,14,1.4586,1.7048,1.3330
,,15,1.4547,1.7034,1.3374
,,18,1.4568,1.7033,1.3383
,,19,1.4572,1.7049,1.3401
,,20,1.4592,1.7081,1.3425
,,21,1.4621,1.7110,1.3371
,,22,1.4600,1.7031,1.3472
,,25,1.4565,1.6979,1.3470
,,26,1.4577,1.6999,1.3452
,,27,1.4588,1.6997,1.3475
,,28,1.4583,1.7016,1.3476
,Apr,01,1.4553,1.7039,1.3486
,,02,1.4516,1.6967,1.3529
,,03,1.4558,1.6993,1.3510
,,04,1.4616,1.7056,1.3480
,,05,1.4612,1.7041,1.3496
,,08,1.4615,1.7040,1.3491
,,09,1.4631,1.7056,1.3478
,,11,1.4540,1.6975,1.3531
,,12,1.4525,1.7004,1.3554
,,15,1.4491,1.6951,1.3604
,,16,1.4504,1.6987,1.3668
,,17,1.4496,1.6956,1.3641
,,18,1.4511,1.6943,1.3587
,,19,1.4502,1.6930,1.3634
,,22,1.4514,1.6855,1.3613
,,23,1.4506,1.6816,1.3613
,,24,1.4557,1.6934,1.3596
,,25,1.4569,1.6962,1.3609
,,26,1.4588,1.7005,1.3605
,,29,1.4603,1.7066,1.3628
,,30,1.4571,1.7078,1.3612
,May,02,1.4572,1.7041,1.3600
,,03,1.4523,1.6982,1.3529
,,06,1.4553,1.6964,1.3520
,,07,1.4560,1.6978,1.3521
,,08,1.4566,1.6933,1.3563
,,09,1.4562,1.6932,1.3549
,,10,1.4588,1.6945,1.3536
,,13,1.4586,1.6963,1.3542
,,14,1.4609,1.7007,1.3542
,,15,1.4616,1.7009,1.3501
,,16,1.4617,1.7039,1.3426
,,17,1.4633,1.7057,1.3476
,,20,1.4630,1.7088,1.3450
,,21,1.4634,1.7130,1.3482
,,23,1.4621,1.7185,1.3501
,,24,1.4613,1.7159,1.3523
,,27,1.4644,1.7199,1.3497
,,28,1.4653,1.7215,1.3470
,,29,1.4635,1.7204,1.3493
,,30,1.4608,1.7174,1.3528
,,31,1.4613,1.7185,1.3507
,Jun,03,1.4659,1.7212,1.3511
,,04,1.4687,1.7250,1.3466
,,05,1.4645,1.7194,1.3463
,,06,1.4660,1.7228,1.3461
,,07,1.4658,1.7206,1.3455
,,10,1.4560,1.7212,1.3538
,,11,1.4571,1.7234,1.3532
,,12,1.4530,1.7239,1.3528
,,13,1.4578,1.7247,1.3490
,,14,1.4519,1.7240,1.3518
,,18,1.4507,1.7175,1.3526
,,19,1.4506,1.7167,1.3510
,,20,1.4513,1.7179,1.3511
,,21,1.4504,1.7136,1.3535
,,24,1.4487,1.7129,1.3549
,,25,1.4518,1.7166,1.3520
,,26,1.4511,1.7189,1.3549
,,27,1.4508,1.7140,1.3570
,,28,1.4525,1.7157,1.3585
,Jul,01,1.4573,1.7154,1.3554
,,02,1.4576,1.7160,1.3582
,,03,1.4579,1.7215,1.3569
,,04,1.4594,1.7243,1.3532
,,05,1.4608,1.7240,1.3500
,,08,1.4602,1.7275,1.3481
,,09,1.4621,1.7289,1.3502
,,10,1.4608,1.7271,1.3500
,,11,1.4606,1.7331,1.3477
,,12,1.4606,1.7348,1.3439
,,15,1.4616,1.7408,1.3417
,,16,1.4645,1.7428,1.3444
,,17,1.4647,1.7426,1.3431
,,18,1.4659,1.7434,1.3409
,,19,1.4635,1.7393,1.3442
,,22,1.4650,1.7382,1.3450
,,23,1.4645,1.7383,1.3443
,,24,1.4595,1.7345,1.3457
,,25,1.4571,1.7326,1.3438
,,26,1.4583,1.7277,1.3430
,,29,1.4575,1.7282,1.3418
,,30,1.4541,1.7272,1.3436
,,31,1.4538,1.7250,1.3434
,Aug,01,1.4467,1.7164,1.3356
,,02,1.4425,1.7000,1.3365
,,05,1.4459,1.6933,1.3228
,,06,1.4512,1.6930,1.3249
,,07,1.4500,1.6891,1.3284
,,08,1.4485,1.6822,1.3246
,,12,1.4457,1.6901,1.3247
,,13,1.4479,1.6912,1.3238
,,14,1.4480,1.6940,1.3177
,,15,1.4505,1.6910,1.3177
,,16,1.4499,1.6996,1.3209
,,19,1.4473,1.6985,1.3114
,,20,1.4504,1.6997,1.3096
,,21,1.4526,1.7015,1.3063
,,22,1.4561,1.7098,1.3066
,,23,1.4550,1.7139,1.3079
,,26,1.4557,1.7185,1.3017
,,27,1.4566,1.7206,1.3044
,,28,1.4548,1.7260,1.3029
,,29,1.4497,1.7194,1.3019
,,30,1.4430,1.7155,1.3032
,Sep,02,1.4432,1.7148,1.3063
,,03,1.4472,1.7182,1.3088
,,04,1.4449,1.7137,1.3071
,,05,1.4432,1.7129,1.3029
,,06,1.4443,1.7123,1.2994
,,09,1.4432,1.7104,1.3026
,,10,1.4412,1.7068,1.3057
,,11,1.4377,1.7054,1.3024
,,12,1.4363,1.7009,1.3040
,,13,1.4401,1.7079,1.2989
,,16,1.4382,1.7046,1.2954
,,17,1.4405,1.7096,1.2949
,,18,1.4399,1.7037,1.2941
,,19,1.4401,1.7111,1.2953
,,20,1.4403,1.7149,1.2898
,,23,1.4418,1.7193,1.2918
,,24,1.4336,1.7227,1.2901
,,25,1.4364,1.7218,1.2828
,,26,1.4342,1.7171,1.2874
,,27,1.4349,1.7206,1.2848
,,30,1.4290,1.7141,1.2806
,Oct,01,1.4326,1.7198,1.2864
,,02,1.4249,1.7101,1.2870
,,03,1.4290,1.7159,1.2951
,,04,1.4301,1.7026,1.2969
,,07,1.4306,1.7119,1.3039
,,08,1.4314,1.7063,1.3033
,,09,1.4297,1.7058,1.3037
,,10,1.4296,1.7082,1.3064
,,11,1.4279,1.7041,1.3053
,,14,1.4269,1.7055,1.3060
,,15,1.4274,1.7099,1.3100
,,16,1.4247,1.7098,1.3081
,,17,1.4254,1.7058,1.3134
,,18,1.4238,1.7106,1.3137
,,21,1.4235,1.7094,1.3100
,,22,1.4236,1.7099,1.3158
,,23,1.4229,1.7105,1.3172
,,24,1.4247,1.7073,1.3209
,,25,1.4283,1.7109,1.3199
,,28,1.4282,1.7143,1.3246
,,29,1.4319,1.7169,1.3250
,,30,1.4332,1.7226,1.3253
,Nov,01,1.4391,1.7065,1.3231
,,04,1.4353,1.7107,1.3166
,,05,1.4349,1.7091,1.3194
,,06,1.4351,1.7211,1.3353
,,07,1.4288,1.7192,1.3305
,,08,1.4251,1.7141,1.3223
,,11,1.4233,1.7152,1.3281
,,12,1.4206,1.7147,1.3353
,,13,1.4214,1.7059,1.3385
,,14,1.4193,1.7067,1.3456
,,15,1.4172,1.7042,1.3445
,,18,1.4149,1.6956,1.3431
,,19,1.4177,1.6971,1.3379
,,20,1.4181,1.6982,1.3391
,,21,1.4159,1.6983,1.3416
,,22,1.4094,1.6932,1.3455
,,25,1.4074,1.6916,1.3433
,,26,1.4120,1.6910,1.3474
,,27,1.4123,1.6937,1.3472
,,28,1.4171,1.7005,1.3428
,,29,1.4162,1.7027,1.3393
,Dec,02,1.4155,1.7067,1.3451
,,03,1.4128,1.7032,1.3469
,,04,1.4136,1.7048,1.3471
,,05,1.4129,1.7064,1.3426
,,06,1.4162,1.7074,1.3390
,,09,1.4153,1.7090,1.3432
,,10,1.4140,1.7074,1.3393
,,11,1.4120,1.7131,1.3411
,,12,1.4117,1.7154,1.3438
,,13,1.4094,1.7059,1.3474
,,16,1.4182,1.7043,1.3491
,,17,1.4197,1.7128,1.3505
,,18,1.4183,1.7152,1.3509
,,19,1.4130,1.7138,1.3615
,,20,1.4096,1.6979,1.3604
,,23,1.4139,1.7035,1.3544
,,24,1.4121,1.7031,1.3589
,,26,1.4120,1.7032,1.3577
,,27,1.4160,1.7034,1.3599
,,30,1.4143,1.7067,1.3567
,,31,1.4160,1.7074,1.3603

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2025,Jan,02,1.4108,1.7053,1.3603
,,03,1.4058,1.6964,1.3688
,,06,1.4131,1.7034,1.3697
,,07,1.4182,1.7102,1.3645
,,08,1.4132,1.7042,1.3657
,,09,1.4104,1.6884,1.3679
,,10,1.4093,1.6833,1.3684
,,13,1.4032,1.6682,1.3736
,,14,1.4041,1.6727,1.3701
,,15,1.4096,1.6697,1.3684
,,16,1.4069,1.6719,1.3674
,,17,1.4071,1.6711,1.3660
,,20,1.4064,1.6655,1.3646
,,21,1.4108,1.6698,1.3582
,,22,1.4115,1.6719,1.3557
,,23,1.4106,1.6689,1.3552
,,24,1.4101,1.6730,1.3500
,,27,1.4112,1.6790,1.3480
,,28,1.4107,1.6828,1.3526
,,31,1.4072,1.6828,1.3552
,Feb,03,1.3990,1.6787,1.3681
,,04,1.4020,1.6874,1.3593
,,05,1.4037,1.6871,1.3524
,,06,1.4032,1.6871,1.3503
,,07,1.4026,1.6793,1.3512
,,10,1.3974,1.6799,1.3552
,,11,1.3970,1.6759,1.3566
,,12,1.4027,1.6852,1.3537
,,13,1.4069,1.6846,1.3502
,,14,1.4057,1.6879,1.3440
,,17,1.4051,1.6858,1.3388
,,18,1.4054,1.6928,1.3433
,,19,1.4025,1.6931,1.3420
,,20,1.3978,1.6874,1.3399
,,21,1.4012,1.6903,1.3342
,,24,1.4010,1.6890,1.3318
,,25,1.4019,1.6910,1.3385
,,26,1.4052,1.6922,1.3378
,,27,1.4038,1.6977,1.3414
,,28,1.4014,1.6978,1.3490
,Mar,03,1.4060,1.7010,1.3497
,,04,1.4108,1.7084,1.3465
,,05,1.4229,1.7136,1.3401
,,06,1.4376,1.7171,1.3325
,,07,1.4405,1.7180,1.3331
,,10,1.4427,1.7197,1.3320
,,11,1.4471,1.7184,1.3332
,,12,1.4521,1.7221,1.3325
,,13,1.4500,1.7262,1.3323
,,14,1.4483,1.7285,1.3354
,,17,1.4518,1.7255,1.3338
,,18,1.4533,1.7285,1.3322
,,19,1.4563,1.7300,1.3314
,,20,1.4523,1.7316,1.3312
,,21,1.4472,1.7293,1.3357
,,24,1.4469,1.7267,1.3372
,,25,1.4465,1.7306,1.3389
,,26,1.4429,1.7303,1.3375
,,27,1.4431,1.7288,1.3389
,,28,1.4473,1.7361,1.3410
,Apr,01,1.4536,1.7364,1.3427
,,02,1.4500,1.7355,1.3432
,,03,1.4665,1.7561,1.3437
,,04,1.4774,1.7453,1.3317
,,07,1.4747,1.7354,1.3468
,,08,1.4786,1.7232,1.3487
,,09,1.4897,1.7327,1.3517
,,10,1.4722,1.7222,1.3407
,,11,1.5038,1.7286,1.3263
,,14,1.4971,1.7255,1.3164
,,15,1.4921,1.7355,1.3150
,,16,1.4922,1.7448,1.3154
,,17,1.4928,1.7358,1.3135
,,21,1.5015,1.7448,1.3042
,,22,1.5051,1.7491,1.3048
,,23,1.4933,1.7444,1.3122
,,24,1.4912,1.7452,1.3152
,,25,1.4882,1.7461,1.3143
,,28,1.4933,1.7482,1.3149
,,29,1.4908,1.7554,1.3088
,,30,1.4867,1.7502,1.3077
,May,02,1.4775,1.7384,1.3061
,,05,1.4649,1.7178,1.2927
,,06,1.4634,1.7194,1.2934
,,07,1.4652,1.7235,1.2914
,,08,1.4662,1.7274,1.2944
,,09,1.4590,1.7203,1.3001
,,13,1.4493,1.7207,1.3037
,,14,1.4569,1.7317,1.3010
,,15,1.4542,1.7248,1.2987
,,16,1.4504,1.7240,1.2950
,,19,1.4519,1.7266,1.2985
,,20,1.4561,1.7310,1.2948
,,21,1.4631,1.7336,1.2908
,,22,1.4611,1.7308,1.2892
,,23,1.4590,1.7345,1.2898
,,26,1.4627,1.7405,1.2818
,,27,1.4627,1.7420,1.2836
,,28,1.4584,1.7389,1.2897
,,29,1.4552,1.7382,1.2937
,,30,1.4625,1.7359,1.2885
,Jun,02,1.4663,1.7400,1.2904
,,03,1.4706,1.7408,1.2878
,,04,1.4673,1.7446,1.2907
,,05,1.4690,1.7438,1.2875
,,06,1.4700,1.7439,1.2850
,,09,1.4686,1.7439,1.2869
,,10,1.4677,1.7433,1.2872
,,11,1.4689,1.7348,1.2868
,,12,1.4759,1.7403,1.2813
,,13,1.4796,1.7380,1.2824
,,16,1.4795,1.7371,1.2833
,,17,1.4814,1.7392,1.2812
,,18,1.4776,1.7265,1.2850
,,19,1.4759,1.7257,1.2871
,,20,1.4814,1.7342,1.2850
