MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,20,1.5664,1.7469,1.3703
,,21,1.5751,1.7537,1.3667
,,23,1.5843,1.7646,1.3709
,,24,1.5866,1.7598,1.3731
,,27,1.5859,1.7538,1.3640
,,28,1.5925,1.7562,1.3641
,,29,1.5952,1.7556,1.3641
,,30,1.5978,1.7799,1.3659
,,31,1.5960,1.7799,1.3684
,Sep,03,1.5904,1.7726,1.3715
,,04,1.5939,1.7669,1.3740
,,05,1.5961,1.7701,1.3763
,,06,1.6019,1.7776,1.3771
,,07,1.5987,1.7780,1.3754
,,10,1.5938,1.7825,1.3808
,,11,1.5971,1.7958,1.3773
,,12,1.5958,1.7915,1.3773
,,13,1.5962,1.7902,1.3716
,,14,1.6021,1.7974,1.3701
,,17,1.5995,1.7981,1.3745
,,18,1.6038,1.8048,1.3714
,,19,1.5996,1.8021,1.3704
,,20,1.5988,1.7999,1.3690
,,21,1.6069,1.8102,1.3638
,,24,1.6042,1.7865,1.3662
,,25,1.6040,1.7903,1.3663
,,26,1.6061,1.7992,1.3650
,,27,1.6037,1.7952,1.3647
,,28,1.5923,1.7879,1.3671
,Oct,01,1.5878,1.7842,1.3693
,,02,1.5885,1.7899,1.3729
,,03,1.5907,1.7851,1.3737
,,04,1.5844,1.7859,1.3810
,,05,1.5901,1.7980,1.3819
,,08,1.5924,1.8135,1.3832
,,09,1.5898,1.8114,1.3836
,,10,1.5890,1.8163,1.3805
,,11,1.5986,1.8279,1.3820
,,12,1.5941,1.8181,1.3739
,,15,1.5921,1.8073,1.3789
,,16,1.5939,1.8103,1.3771
,,17,1.5896,1.8112,1.3748
,,18,1.5839,1.8044,1.3776
,,19,1.5801,1.7959,1.3792
,,22,1.5851,1.7996,1.3765
,,23,1.5823,1.7908,1.3815
,,24,1.5799,1.7885,1.3775
,,25,1.5753,1.7795,1.3807
,,26,1.5727,1.7734,1.3837
,,29,1.5733,1.7725,1.3807
,,30,1.5744,1.7720,1.3832
,,31,1.5724,1.7616,1.3865
,Nov,01,1.5683,1.7765,1.3824
,,02,1.5696,1.7886,1.3765
,,05,1.5668,1.7871,1.3763
,,07,1.5724,1.8021,1.3720
,,08,1.5680,1.8011,1.3719
,,09,1.5627,1.7971,1.3771
,,12,1.5616,1.7836,1.3789
,,13,1.5540,1.7798,1.3818
,,14,1.5582,1.7935,1.3792
,,15,1.5597,1.7901,1.3766
,,16,1.5593,1.7598,1.3756
,,19,1.5669,1.7633,1.3739
,,20,1.5705,1.7630,1.3710
,,21,1.5643,1.7589,1.3757
,,22,1.5653,1.7554,1.3737
,,23,1.5671,1.7682,1.3728
,,26,1.5582,1.7609,1.3743
,,27,1.5591,1.7628,1.3757
,,28,1.5566,1.7560,1.3781
,,29,1.5604,1.7598,1.3715
,,30,1.5616,1.7513,1.3705
,Dec,03,1.5535,1.7484,1.3688
,,04,1.5521,1.7392,1.3653
,,05,1.5502,1.7381,1.3685
,,06,1.5540,1.7428,1.3701
,,07,1.5572,1.7480,1.3685
,,10,1.5654,1.7455,1.3693
,,11,1.5603,1.7263,1.3730
,,12,1.5554,1.7174,1.3731
,,13,1.5584,1.7295,1.3710
,,14,1.5588,1.7332,1.3722
,,17,1.5552,1.7298,1.3750
,,18,1.5575,1.7326,1.3716
,,19,1.5583,1.7345,1.3688
,,20,1.5627,1.7327,1.3731
,,21,1.5667,1.7318,1.3685
,,24,1.5628,1.7385,1.3722
,,26,1.5654,1.7424,1.3713
,,27,1.5627,1.7377,1.3730
,,28,1.5678,1.7331,1.3685
,,31,1.5618,1.7318,1.3648

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2019,Jan,02,1.5635,1.7389,1.3660
,,03,1.5523,1.7147,1.3660
,,04,1.5521,1.7217,1.3620
,,07,1.5502,1.7302,1.3571
,,08,1.5537,1.7328,1.3582
,,09,1.5543,1.7283,1.3568
,,10,1.5623,1.7283,1.3507
,,11,1.5577,1.7247,1.3516
,,14,1.5521,1.7384,1.3535
,,15,1.5534,1.7443,1.3525
,,16,1.5452,1.7411,1.3550
,,17,1.5442,1.7456,1.3560
,,18,1.5451,1.7588,1.3558
,,21,1.5461,1.7480,1.3593
,,22,1.5450,1.7513,1.3599
,,23,1.5451,1.7612,1.3597
,,24,1.5471,1.7762,1.3586
,,25,1.5386,1.7829,1.3591
,,28,1.5434,1.7842,1.3517
,,29,1.5472,1.7799,1.3536
,,30,1.5454,1.7683,1.3514
,,31,1.5486,1.7681,1.3465
,Feb,01,1.5430,1.7660,1.3482
,,04,1.5486,1.7689,1.3527
,,07,1.5402,1.7530,1.3558
,,08,1.5388,1.7570,1.3570
,,11,1.5356,1.7537,1.3565
,,12,1.5335,1.7491,1.3595
,,13,1.5355,1.7477,1.3543
,,14,1.5317,1.7470,1.3577
,,15,1.5331,1.7381,1.3584
,,18,1.5337,1.7502,1.3552
,,19,1.5338,1.7514,1.3579
,,20,1.5336,1.7656,1.3520
,,21,1.5333,1.7633,1.3511
,,22,1.5356,1.7654,1.3543
,,25,1.5315,1.7645,1.3501
,,26,1.5338,1.7738,1.3501
,,27,1.5341,1.7853,1.3481
,,28,1.5345,1.7934,1.3487
,Mar,01,1.5379,1.7931,1.3526
,,04,1.5382,1.7919,1.3534
,,05,1.5351,1.7828,1.3553
,,06,1.5340,1.7839,1.3582
,,07,1.5338,1.7885,1.3569
,,08,1.5227,1.7807,1.3600
,,11,1.5271,1.7637,1.3595
,,12,1.5272,1.7922,1.3562
,,13,1.5310,1.7750,1.3567
,,14,1.5333,1.7953,1.3544
,,15,1.5338,1.7944,1.3551
,,18,1.5328,1.7977,1.3521
,,19,1.5326,1.7929,1.3505
,,20,1.5344,1.7927,1.3523
,,21,1.5390,1.7800,1.3470
,,22,1.5349,1.7728,1.3491
,,25,1.5271,1.7831,1.3515
,,26,1.5272,1.7813,1.3495
,,27,1.5232,1.7840,1.3536
,,28,1.5251,1.7875,1.3552
,,29,1.5223,1.7714,1.3559
,Apr,01,1.5202,1.7643,1.3536
,,02,1.5185,1.7718,1.3555
,,03,1.5193,1.7790,1.3540
,,04,1.5213,1.7824,1.3532
,,05,1.5201,1.7729,1.3544
,,08,1.5226,1.7717,1.3559
,,09,1.5261,1.7716,1.3545
,,10,1.5242,1.7673,1.3536
,,11,1.5262,1.7729,1.3534
,,12,1.5318,1.7741,1.3567
,,15,1.5301,1.7712,1.3527
,,16,1.5296,1.7716,1.3534
,,17,1.5305,1.7681,1.3541
,,18,1.5289,1.7652,1.3537
,,22,1.5250,1.7631,1.3571
,,23,1.5255,1.7609,1.3557
,,24,1.5243,1.7588,1.3596
,,25,1.5199,1.7579,1.3623
,,26,1.5166,1.7568,1.3620
,,29,1.5182,1.7597,1.3607
,,30,1.5237,1.7626,1.3620
,May,02,1.5249,1.7764,1.3608
,,03,1.5227,1.7768,1.3627
,,06,1.5271,1.7902,1.3643
,,07,1.5279,1.7884,1.3633
,,08,1.5248,1.7789,1.3610
,,09,1.5252,1.7727,1.3630
,,10,1.5305,1.7740,1.3629
,,13,1.5339,1.7774,1.3660
,,14,1.5377,1.7732,1.3682
,,15,1.5334,1.7663,1.3681
,,16,1.5336,1.7581,1.3683
,,17,1.5362,1.7578,1.3744
,,21,1.5355,1.7509,1.3756
,,22,1.5389,1.7533,1.3787
,,23,1.5384,1.7449,1.3797
,,24,1.5429,1.7468,1.3799
,,27,1.5401,1.7489,1.3734
,,28,1.5397,1.7452,1.3769
,,29,1.5413,1.7477,1.3804
,,30,1.5363,1.7419,1.3793
,,31,1.5348,1.7389,1.3789
,Jun,03,1.5331,1.7343,1.3707
,,04,1.5396,1.7328,1.3682
,,06,1.5339,1.7329,1.3658
,,07,1.5386,1.7336,1.3656
,,10,1.5447,1.7367,1.3657
,,11,1.5444,1.7313,1.3652
,,12,1.5464,1.7352,1.3644
,,13,1.5436,1.7340,1.3667
,,14,1.5420,1.7335,1.3679
,,17,1.5379,1.7265,1.3706
